Date,Series,Number,Seller,Tax Provider,Downloaded
2025-03-30,C25TAV,228,CÔNG TY TNHH XUẤT NHẬP KHẨU ÁNH VÂN,thaison,No
2025-03-30,K25TEA,1453478,Ngân hàng TMCP Ngoại thương Việt Nam,-,No
2025-03-30,K25TAB,87999,Ngân hàng TMCP Sài Gòn Thương Tín - Chi nhánh Sài Gòn,-,No
2025-03-30,K25TAB,87918,Ngân hàng TMCP Sài Gòn Thương Tín - Chi nhánh Sài Gòn,-,No
2025-03-30,K25TAB,87917,Ngân hàng TMCP Sài Gòn Thương Tín - Chi nhánh Sài Gòn,-,No
2025-03-30,K25TKT,13366,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,fpt,No
2025-03-30,K25TKT,13335,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,fpt,No
2025-03-30,K25TKT,13242,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,fpt,No
2025-03-28,C25TSV,1555,CHI NHÁNH CÔNG TY CỔ PHẦN PIZZA 4PS - NHÀ HÀNG PIZZA 4PS COBI TOWER,bkav,No
2025-03-28,C25TGK,111,CÔNG TY TNHH CÔNG NGHIỆP GK SÀI GÒN,visnam,No
2025-03-28,K25TED,54355488,CÔNG TY TNHH THU PHÍ TỰ ĐỘNG VETC,-,No
2025-03-28,K25TED,54351275,CÔNG TY TNHH THU PHÍ TỰ ĐỘNG VETC,-,No
2025-03-28,K25TAB,83369,Ngân hàng TMCP Sài Gòn Thương Tín - Chi nhánh Sài Gòn,-,No
2025-03-28,K25TKT,13112,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,fpt,No
2025-03-28,K25TKT,13042,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,fpt,No
2025-03-28,K25TKT,13041,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,fpt,No
2025-03-28,K25TKT,13040,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,fpt,No
2025-03-28,K25TKT,13039,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,fpt,No
2025-03-28,K25TKT,13038,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,fpt,No
2025-03-27,C25TTT,1228,CÔNG TY TNHH CUNG ỨNG THIẾT BỊ TOÀN TÂM,vina,No
2025-03-27,C25TAV,221,CÔNG TY TNHH XUẤT NHẬP KHẨU ÁNH VÂN,thaison,No
2025-03-27,C25TVP,200,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ VĨNH PHONG,visnam,No
2025-03-27,K25TED,53769181,CÔNG TY TNHH THU PHÍ TỰ ĐỘNG VETC,-,No
2025-03-27,K25TED,53695077,CÔNG TY TNHH THU PHÍ TỰ ĐỘNG VETC,-,No
2025-03-27,K25TKT,12956,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,fpt,No
2025-03-27,K25TKT,12938,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,fpt,No
2025-03-27,K25TKT,12929,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,fpt,No
2025-03-27,K25TKT,12841,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,fpt,No
2025-03-27,K25TKT,12832,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,fpt,No
2025-03-27,K25TKT,12831,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,fpt,No
2025-03-26,C25TKG,774,CÔNG TY TNHH CUNG ỨNG THIẾT BỊ VẬT TƯ - PCCC - BHLD HÀO PHÁT,visnam,No
2025-03-26,C25TQP,692,Công Ty TNHH Thiết Bị Điện Công Nghiệp Quân Phạm,bkav,No
2025-03-26,C25TAV,215,CÔNG TY TNHH XUẤT NHẬP KHẨU ÁNH VÂN,thaison,No
2025-03-26,K25TED,53186208,CÔNG TY TNHH THU PHÍ TỰ ĐỘNG VETC,-,No
2025-03-26,K25TED,53132906,CÔNG TY TNHH THU PHÍ TỰ ĐỘNG VETC,-,No
2025-03-26,K25TED,53122694,CÔNG TY TNHH THU PHÍ TỰ ĐỘNG VETC,-,No
2025-03-26,K25TED,53079863,CÔNG TY TNHH THU PHÍ TỰ ĐỘNG VETC,-,No
2025-03-26,K25TED,52983177,CÔNG TY TNHH THU PHÍ TỰ ĐỘNG VETC,-,No
2025-03-26,K25TED,52982296,CÔNG TY TNHH THU PHÍ TỰ ĐỘNG VETC,-,No
2025-03-26,K25TEA,1409021,Ngân hàng TMCP Ngoại thương Việt Nam,-,No
2025-03-26,K25TAB,80942,Ngân hàng TMCP Sài Gòn Thương Tín - Chi nhánh Sài Gòn,-,No
2025-03-26,K25TAB,80941,Ngân hàng TMCP Sài Gòn Thương Tín - Chi nhánh Sài Gòn,-,No
2025-03-26,K25TKT,12805,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,fpt,No
2025-03-26,K25TKT,12702,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,fpt,No
2025-03-26,K25TKT,12701,CÔNG TY CỔ PHẦN TẬP ĐOÀN KIM TÍN,fpt,No
2025-03-25,C25THP,1179,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ VẢI NHÁM HỒ PHÁT,bkav,No
